# value,p_j_0_0,p_j_0_1,p_j_0_2,p_j_1_0,p_j_1_1,p_j_1_2,p_j_2_0,p_j_2_1,p_j_2_2
7.726562500000000000e+00,1.710922925256510869e-03,1.299464957355336500e-02,1.499617666945081938e-02,1.459576711039581483e-02,1.845102499778504979e-03,1.583077728501228881e-02,1.346533132970508320e-02,1.393603126719555017e-02,1.874657619324239521e-03
8.085937500000000000e+00,1.132465759741053740e-03,1.123631995991799387e-02,1.299858100241521944e-02,1.228287767962151639e-02,1.232242526177358992e-03,1.355281131757046439e-02,1.134188154782000794e-02,1.174562394759505295e-02,1.189690082398123672e-03
8.445312500000000000e+00,7.433263613173822547e-04,9.534861299883824748e-03,1.093542720543291651e-02,1.061720524116274884e-02,8.519668884653080598e-04,1.166652578096666858e-02,9.693320644186710980e-03,9.995940457932244241e-03,7.398490337221571168e-04
8.804687500000000000e+00,4.944830824537358848e-04,8.067194985632604801e-03,9.450597017807612840e-03,9.005657486779335835e-03,5.818579169480454566e-04,1.008103535536011321e-02,8.202871737982264308e-03,8.559905412403468611e-03,4.540116740830477766e-04
9.164062500000000000e+00,3.035610119584199206e-04,6.912069843287388556e-03,8.050653908869937272e-03,7.719630781905464749e-03,4.178551891814194074e-04,8.677691372189662300e-03,6.976965999929008420e-03,7.202399788125828442e-03,2.563840469058667948e-04
9.523437500000000000e+00,2.178507938582565392e-04,5.871200744292679602e-03,6.748747239696091353e-03,6.468772078743377507e-03,2.040617657873000917e-04,7.420774559496992780e-03,5.890049250876078224e-03,6.238961320245909117e-03,1.641475314546595897e-04
9.882812500000000000e+00,1.158586381798371967e-04,4.913317742334011480e-03,5.946052367997717650e-03,5.430487700306792058e-03,8.896573607122220241e-05,6.042404426717138538e-03,5.058005417931848817e-03,5.188394679122267789e-03,9.225574459937692427e-05
1.024218750000000000e+01,8.160174121006022767e-05,4.190459885872632739e-03,5.038360749418763565e-03,4.668263814762775230e-03,4.408120598424384256e-05,5.211668144785099738e-03,4.198961714499127584e-03,4.469791735816808394e-03,4.733521800633746964e-05
1.060156250000000000e+01,4.405486540455148207e-05,3.513684450375083139e-03,4.383777946894765881e-03,3.956402933350301049e-03,2.938266800954288482e-05,4.441840249816459037e-03,3.544224726585905490e-03,3.643297278482672021e-03,2.448928521477255782e-05
1.096093750000000000e+01,2.610232321965041415e-05,2.875182757986732840e-03,3.764715154481450277e-03,3.392082614045543402e-03,1.958552937359572300e-05,3.785296501997729469e-03,2.932193858706846987e-03,3.095405656317912202e-03,2.204419794732875642e-05
1.132031250000000000e+01,1.794934494341294160e-05,2.425521626863192792e-03,3.129712084366898656e-03,2.838695854890151745e-03,1.223985377263425989e-05,3.280613020500314052e-03,2.489289614891604212e-03,2.619453503391992472e-03,1.633631008993659169e-05
