# log(rho), p(log(rho))
3.892959181248190959e+00,4.090776753069035043e-03
3.906788521146053128e+00,4.010717364361682767e-03
3.920617861043915298e+00,3.998701732313343984e-03
3.934447200941777467e+00,4.054156330547678370e-03
3.948276540839639637e+00,3.906784714637045672e-03
3.962105880737501806e+00,3.824951848024052067e-03
3.975935220635363976e+00,3.606946310179493832e-03
3.989764560533226145e+00,3.656989446157457579e-03
4.003593900431088315e+00,3.707737279492638247e-03
4.017423240328950484e+00,3.759198846121007947e-03
4.031252580226812654e+00,3.811383389900108946e-03
4.045081920124674824e+00,3.796749658563522596e-03
4.058911260022536993e+00,3.577673985838540106e-03
4.072740599920399163e+00,3.559680668924812639e-03
4.086569939818261332e+00,3.541161731722654391e-03
4.100399279716123502e+00,3.454703443250806225e-03
4.114228619613985671e+00,3.433978438085105375e-03
4.128057959511847841e+00,3.345402552929599600e-03
4.141887299409710010e+00,3.256586432258103559e-03
4.155716639307572180e+00,3.233896619019465020e-03
4.169545979205434350e+00,3.211077417147395301e-03
4.183375319103296519e+00,3.119817666578798658e-03
4.197204659001158689e+00,3.163160171776326166e-03
4.211033998899020858e+00,3.138820654141874413e-03
4.224863338796882140e+00,3.114397366763600912e-03
4.238692678694744309e+00,3.089944159560204743e-03
4.252522018592606479e+00,2.996383405529181448e-03
4.266351358490468648e+00,3.038018391189917233e-03
4.280180698388330818e+00,3.080235126538309956e-03
4.294010038286192987e+00,2.987166527709315348e-03
4.307839378184055157e+00,3.028679905093987872e-03
4.321668718081917326e+00,3.003201726350168861e-03
4.335498057979779496e+00,2.976943995422905685e-03
4.349327397877641666e+00,2.950352192588495768e-03
4.363156737775503835e+00,2.855337477902850432e-03
4.376986077673366005e+00,2.895023314419526046e-03
4.390815417571228174e+00,2.799464204037825903e-03
4.404644757469090344e+00,2.702859020417305164e-03
4.418474097366952513e+00,2.672554165567486532e-03
4.432303437264814683e+00,2.641418182237704505e-03
4.446132777162676852e+00,2.678132595106316391e-03
4.459962117060539022e+00,2.647615666019929610e-03
4.473791456958401191e+00,2.548076562001410500e-03
4.487620796856263361e+00,2.583495426339291884e-03
4.501450136754125531e+00,2.551407989111039495e-03
4.515279476651987700e+00,2.451234706541948263e-03
4.529108816549849870e+00,2.348979291920938114e-03
4.542938156447712039e+00,2.313498463874311996e-03
4.556767496345574209e+00,2.345656250510689232e-03
4.570596836243436378e+00,2.310088841865025680e-03
4.584426176141298548e+00,2.274011903953928031e-03
4.598255516039159829e+00,2.102819319220223301e-03
4.612084855937021999e+00,1.996815818708369637e-03
4.625914195834884168e+00,2.024570661144976282e-03
4.639743535732746338e+00,1.916394209937166693e-03
4.653572875630608507e+00,1.874882391405794518e-03
4.667402215528470677e+00,1.765420252383685315e-03
4.681231555426332847e+00,1.789957222853446640e-03
4.695060895324195016e+00,1.814836647111442349e-03
4.708890235222057186e+00,1.704013929468844220e-03
4.722719575119919355e+00,1.660079834970723707e-03
4.736548915017781525e+00,1.683156586182551605e-03
4.750378254915643694e+00,1.638904155823443613e-03
4.764207594813505864e+00,1.661687319871868159e-03
4.778036934711368033e+00,1.684788367749749487e-03
4.791866274609230203e+00,1.503470904929825542e-03
4.805695614507092372e+00,1.524369945851439300e-03
4.819524954404954542e+00,1.545560602336646348e-03
4.833354294302816712e+00,1.567046924318485140e-03
4.847183634200678881e+00,1.453409581916913652e-03
4.861012974098541051e+00,1.405920998474891048e-03
4.874842313996403220e+00,1.425464456439219738e-03
4.888671653894265390e+00,1.445280597942792677e-03
4.902500993792127559e+00,1.465373210711948173e-03
4.916330333689989729e+00,1.485746135230867331e-03
4.930159673587851898e+00,1.302515818737950016e-03
4.943989013485714068e+00,1.320621966360467896e-03
4.957818353383576238e+00,1.270899000449926802e-03
4.971647693281437519e+00,1.288565837603248675e-03
4.985477033179299688e+00,1.306479159868901251e-03
4.999306373077161858e+00,1.324642391365968720e-03
5.013135712975024028e+00,1.343059003750338327e-03
5.026965052872886197e+00,1.361732516971646528e-03
5.040794392770748367e+00,1.312581020733496247e-03
5.054623732668610536e+00,1.330831004691741121e-03
5.068453072566472706e+00,1.281171712566561965e-03
5.082282412464334875e+00,1.298985146557436222e-03
5.096111752362197045e+00,1.317047045534155232e-03
5.109941092260059214e+00,1.335360862116395046e-03
5.123770432157921384e+00,1.353930098010767188e-03
5.137599772055783554e+00,1.372758303450094010e-03
5.151429111953645723e+00,1.391849086278724307e-03
5.165258451851507893e+00,1.206720571738387855e-03
5.179087791749370062e+00,1.019175250772248222e-03
5.192917131647232232e+00,1.033352180628322814e-03
5.206746471545094401e+00,1.047726760855817712e-03
5.220575811442956571e+00,1.062301740612612124e-03
5.234405151340818740e+00,9.411390148721322964e-04
5.248234491238680910e+00,8.865743747941360470e-04
5.262063831136543079e+00,8.989062191233730811e-04
5.275893171034405249e+00,9.114099968004242807e-04
5.289722510932267419e+00,9.240880994750133972e-04
5.303551850830129588e+00,8.001662484336050096e-04
5.317381190727991758e+00,8.112980392376268300e-04
5.331210530625853927e+00,8.225850063907335632e-04
5.345039870523715209e+00,8.340293075290116081e-04
5.358869210421577378e+00,8.456331295250500138e-04
5.372698550319439548e+00,7.211077349804385092e-04
5.386527890217301717e+00,7.311393860317249313e-04
5.400357230115163887e+00,7.413108794573459396e-04
5.414186570013026056e+00,6.833259058600133374e-04
5.428015909910888226e+00,6.928318687356418894e-04
5.441845249808750395e+00,6.345912061412328775e-04
5.455674589706612565e+00,5.753056782105203182e-04
5.469503929604474735e+00,5.833078334298021994e-04
5.483333269502336904e+00,5.914215576640630004e-04
5.497162609400199074e+00,5.996484023189995556e-04
5.510991949298061243e+00,6.079899310743554957e-04
5.524821289195923413e+00,5.484147468303610063e-04
5.538650629093785582e+00,5.560430851216308697e-04
5.552479968991647752e+00,5.637777744450559424e-04
5.566309308889509921e+00,5.033484803265476665e-04
5.580138648787372091e+00,4.426854929507221333e-04
5.593967988685234261e+00,4.488425432299700908e-04
5.607797328583096430e+00,4.550854413024049759e-04
