# surftimeconst,average_velocity_axis_0_t_inf__params_1o0_2o0,average_velocity_axis_0_t_inf__params_1o0_0o75,average_velocity_axis_0_t_inf__params_1o0_3o0,average_velocity_axis_0_t_inf__params_1o0_0o5,average_velocity_axis_0_t_inf__params_1o0_1o5,average_velocity_axis_0_t_inf__params_1o0_0o25,average_velocity_axis_0_t_inf__params_1o0_4o0
5.877551020408162685e+00,1.752935915717263593e-01,2.579629356713246113e-01,1.137904370502121898e-01,2.660786214967829633e-01,2.153464936902939886e-01,2.671963091090732711e-01,7.516898987512574126e-02
6.040816326530611846e+00,1.742192853103050054e-01,2.525227526236036302e-01,1.138219204444085864e-01,2.603782304560441352e-01,2.125822980809128904e-01,2.614036313961744518e-01,7.567969338265347068e-02
6.204081632653061007e+00,1.730971009344008937e-01,2.471638494210893766e-01,1.138070179038077750e-01,2.547743364984697556e-01,2.098096091735681956e-01,2.558278875100285510e-01,7.618971652360458091e-02
6.367346938775509280e+00,1.719393298213571231e-01,2.419278881988480290e-01,1.137489210563930597e-01,2.493092048902734725e-01,2.070531897447798753e-01,2.505186375380384911e-01,7.670009271011085650e-02
6.530612244897958441e+00,1.707582633485163759e-01,2.368565310919453215e-01,1.136508215301475500e-01,2.440251008976704328e-01,2.043378025710677615e-01,2.455254415676066948e-01,7.721185535430413749e-02
6.693877551020407601e+00,1.695661928932213625e-01,2.319914402354469329e-01,1.135159109530545357e-01,2.389642897868752280e-01,2.016882104289518529e-01,2.408978596861363064e-01,7.772603786831625006e-02
6.857142857142856762e+00,1.683754098328149040e-01,2.273742777644185420e-01,1.133473809530972376e-01,2.341690368241015063e-01,1.991291760949519540e-01,2.366854519810298596e-01,7.824367366427903425e-02
7.020408163265305923e+00,1.671982055446397386e-01,2.230467058139264935e-01,1.131484231582587929e-01,2.296816072755646365e-01,1.966854623455882578e-01,2.329377785396903322e-01,7.876579615432426074e-02
7.183673469387754196e+00,1.660468714060387985e-01,2.190503865190358557e-01,1.129222291965224639e-01,2.255442664074787107e-01,1.943818319573801801e-01,2.297043994495204799e-01,7.929343875058378344e-02
7.346938775510203357e+00,1.649336987943548494e-01,2.154269820148134729e-01,1.126719906958714990e-01,2.217992794860583761e-01,1.922430477068482468e-01,2.270348747979233917e-01,7.982763486518940077e-02
7.510204081632652517e+00,1.638709790869305738e-01,2.122181544363240802e-01,1.124008992842890353e-01,2.184889117775179468e-01,1.902938723705119850e-01,2.249787646723013790e-01,8.036941791027296667e-02
7.673469387755101678e+00,1.628710036611086820e-01,2.094655659186341889e-01,1.121121465897583214e-01,2.156554285480721811e-01,1.885590687248913100e-01,2.235856291600575307e-01,8.091982129796627954e-02
7.836734693877550839e+00,1.619460638942323005e-01,2.072108785968097555e-01,1.118089242402625916e-01,2.133410950639356152e-01,1.870633995465063593e-01,2.229050283485947137e-01,8.147987844040116556e-02
8.000000000000000000e+00,1.611084511636440564e-01,2.054957546059160700e-01,1.114944238637850665e-01,2.115881765913224521e-01,1.858316276118770483e-01,2.229865223253157946e-01,8.205062274970945091e-02
