# log(rho), p(log(rho))
5.190612241664255500e+00,2.016349929761515614e-01
5.213661141494024598e+00,2.024539249346312686e-01
5.236710041323795473e+00,2.003501491373596566e-01
5.259758941153566347e+00,2.030675474254950430e-01
5.282807840983335446e+00,2.058595267991837341e-01
5.305856740813106320e+00,2.067908968974970785e-01
5.328905640642877195e+00,2.028594235718760019e-01
5.351954540472646293e+00,2.027163146646659420e-01
5.375003440302417168e+00,2.035315933779054953e-01
5.398052340132186266e+00,2.034287060221059151e-01
5.421101239961957141e+00,1.984118787823806462e-01
5.444150139791728016e+00,1.991667546439227221e-01
5.467199039621497114e+00,1.960638650526502491e-01
5.490247939451267989e+00,1.928617581414258098e-01
5.513296839281038864e+00,1.944254683825687446e-01
5.536345739110807962e+00,1.950669147107602641e-01
5.559394638940578837e+00,1.879435596744588322e-01
5.582443538770349711e+00,1.864847180930984949e-01
5.605492438600118810e+00,1.869349238672674551e-01
5.628541338429889684e+00,1.883957289574062777e-01
5.651590238259658783e+00,1.888927874639969029e-01
5.674639138089429657e+00,1.883975804035022128e-01
5.697688037919200532e+00,1.908490049636313024e-01
5.720736937748969630e+00,1.923601545390365708e-01
5.743785837578740505e+00,1.861217667355883898e-01
5.766834737408511380e+00,1.846266538258755641e-01
5.789883637238280478e+00,1.860284770086844119e-01
5.812932537068051353e+00,1.874506568661524764e-01
5.835981436897822228e+00,1.879449642729159597e-01
5.859030336727591326e+00,1.855147165350836680e-01
5.882079236557362201e+00,1.888595233641946758e-01
5.905128136387131299e+00,1.922959328832600234e-01
5.928177036216902174e+00,1.880246763108341934e-01
5.951225936046673048e+00,1.865603113017379744e-01
5.974274835876442147e+00,1.860278009856591586e-01
5.997323735706213022e+00,1.845247637813617614e-01
6.020372635535983896e+00,1.829888760408400761e-01
6.043421535365752995e+00,1.843283661273712737e-01
6.066470435195523869e+00,1.847229163568894217e-01
6.089519335025294744e+00,1.841789402757057770e-01
6.112568234855063842e+00,1.836038491737218004e-01
6.135617134684834717e+00,1.830301360456696724e-01
6.158666034514603815e+00,1.814497608252498284e-01
6.181714934344374690e+00,1.798183259372014009e-01
6.204763834174145565e+00,1.791427481892367557e-01
6.227812734003914663e+00,1.765004520484440564e-01
6.250861633833685538e+00,1.776952122329825967e-01
6.273910533663456413e+00,1.760162471060432721e-01
6.296959433493225511e+00,1.742930143650916475e-01
6.320008333322996386e+00,1.744434973522595578e-01
6.343057233152767260e+00,1.746160795710355873e-01
6.366106132982536359e+00,1.728308674308780546e-01
6.389155032812307233e+00,1.690701695523117998e-01
6.412203932642076332e+00,1.662122811566114078e-01
6.435252832471847206e+00,1.652206150449983535e-01
6.458301732301618081e+00,1.642068300347285237e-01
6.481350632131387179e+00,1.592789054132572879e-01
6.504399531961158054e+00,1.600840455938215279e-01
6.527448431790928929e+00,1.540911454099566646e-01
6.550497331620698027e+00,1.547562110321780426e-01
6.573546231450468902e+00,1.505703643114477130e-01
6.596595131280238000e+00,1.501943655593923344e-01
6.619644031110008875e+00,1.497821955302497676e-01
6.642692930939779750e+00,1.493811958262512007e-01
6.665741830769548848e+00,1.450895583199963979e-01
6.688790730599319723e+00,1.484725445048905301e-01
6.711839630429090597e+00,1.490219979511945847e-01
6.734888530258859696e+00,1.447155479458875071e-01
6.757937430088630570e+00,1.441915438729991783e-01
6.780986329918401445e+00,1.417117655347670813e-01
6.804035229748170543e+00,1.430684722218126259e-01
6.827084129577941418e+00,1.425013282312536655e-01
6.850133029407710517e+00,1.380175823003092217e-01
6.873181929237481391e+00,1.334461585388009575e-01
6.896230829067252266e+00,1.336452092471231423e-01
6.919279728897021364e+00,1.280193626813820873e-01
6.942328628726792239e+00,1.290598731804573074e-01
6.965377528556563114e+00,1.271977843147582832e-01
6.988426428386332212e+00,1.204543570103605993e-01
7.011475328216103087e+00,1.193605749275203076e-01
7.034524228045873961e+00,1.192175716237687116e-01
7.057573127875643060e+00,1.190586010507051901e-01
7.080622027705413934e+00,1.150088042184928688e-01
7.103670927535183033e+00,1.157268713226042023e-01
7.126719827364953908e+00,1.135466601529030867e-01
7.149768727194724782e+00,1.084276268536002868e-01
7.172817627024493881e+00,1.031724898449950939e-01
7.195866526854264755e+00,1.026659758528904592e-01
7.218915426684035630e+00,9.920670199716978555e-02
7.241964326513804728e+00,9.471891626608355819e-02
7.265013226343575603e+00,9.596335267843629502e-02
7.288062126173346478e+00,9.529170891201631244e-02
7.311111026003115576e+00,9.262349483709352016e-02
7.334159925832886451e+00,9.281640336456194185e-02
7.357208825662655549e+00,8.912833455146605688e-02
7.380257725492426424e+00,8.634995467652825663e-02
7.403306625322197299e+00,8.544380153664532518e-02
7.426355525151966397e+00,8.547375050192308754e-02
7.449404424981737272e+00,8.261471800013214795e-02
7.472453324811508146e+00,8.066311942139400837e-02
7.495502224641277245e+00,8.254390924715780675e-02
7.518551124471048119e+00,8.154322611728354042e-02
7.541600024300818994e+00,8.150257678145754470e-02
7.564648924130588092e+00,8.047262964569378008e-02
7.587697823960358967e+00,7.941753472008057646e-02
7.610746723790128065e+00,7.931477625216373784e-02
7.633795623619898940e+00,8.018329339226382135e-02
7.656844523449669815e+00,7.812829859273712207e-02
7.679893423279438913e+00,7.603311011123202456e-02
7.702942323109209788e+00,6.906902224904978849e-02
7.725991222938980663e+00,6.874103546781587526e-02
7.749040122768749761e+00,6.840517522760262981e-02
7.772089022598520636e+00,6.612083010368267899e-02
7.795137922428291510e+00,6.474712577438886119e-02
7.818186822258060609e+00,6.625678986726372954e-02
7.841235722087831483e+00,6.681830928960061367e-02
7.864284621917600582e+00,6.447553196238554885e-02
7.887333521747371456e+00,6.305308515805289893e-02
7.910382421577142331e+00,6.062027891551247105e-02
7.933431321406911430e+00,5.910354395238047454e-02
7.956480221236682304e+00,5.754298727545271996e-02
7.979529121066453179e+00,5.791294074193051311e-02
8.002578020896223165e+00,5.634739960010278631e-02
8.025626920725994040e+00,5.573460730463133256e-02
8.048675820555761362e+00,5.508112741400464363e-02
8.071724720385532237e+00,5.538853781131088810e-02
8.094773620215303112e+00,5.375140900982293413e-02
8.117822520045073986e+00,5.207706927718067785e-02
8.140871419874844861e+00,5.037399898011613725e-02
8.163920319704615736e+00,4.959946732713545886e-02
8.186969219534383058e+00,4.977526150996648691e-02
8.210018119364153932e+00,4.996843172997206955e-02
8.233067019193924807e+00,4.919891515827978096e-02
8.256115919023695682e+00,4.546966235970742454e-02
8.279164818853466556e+00,4.457101932888925255e-02
8.302213718683233878e+00,4.560863484688627845e-02
8.325262618513004753e+00,4.470782583078204697e-02
8.348311518342775628e+00,4.187091165083262068e-02
8.371360418172546503e+00,4.187116188340352790e-02
8.394409318002317377e+00,4.284743105513647704e-02
8.417458217832088252e+00,4.384641600975389131e-02
8.440507117661855574e+00,4.096917465512352197e-02
8.463556017491626449e+00,4.192511194015775128e-02
8.486604917321397323e+00,4.192488654827516981e-02
8.509653817151168198e+00,4.094676253910985164e-02
8.532702716980939073e+00,3.607149640933008522e-02
8.555751616810706395e+00,3.691257165309964894e-02
