# angular_frequency,average_fft_tr(J^2),95CLI
2.039810977234623977e+02,1.027355905764175903e+00,7.781645845548948448e-02
2.046106728912418191e+02,1.017190523751489328e+00,7.668386455879097618e-02
2.052402480590211837e+02,1.007622488347391432e+00,7.617857510601351578e-02
2.058698232268005768e+02,1.001292988065528577e+00,7.645462195713996489e-02
2.064993983945799698e+02,9.909775162789207226e-01,7.527830103005526963e-02
2.071289735623593629e+02,9.823605436772459010e-01,7.356291984469702505e-02
2.077585487301387843e+02,9.740714650667007257e-01,7.294056703897187910e-02
2.083881238979181774e+02,9.705726511088280661e-01,7.339453055381058022e-02
2.090176990656975420e+02,9.564865154646092771e-01,7.240710360042117155e-02
2.096472742334769350e+02,9.588739993034878228e-01,7.200010997689877679e-02
2.102768494012563281e+02,9.459580831139819956e-01,7.083739457320643862e-02
2.109064245690357495e+02,9.434846479908769457e-01,6.987531694258219961e-02
2.115359997368151426e+02,9.387086101213997225e-01,7.176113959071085679e-02
2.121655749045945356e+02,9.234344713089964740e-01,7.053985513900064286e-02
2.127951500723739002e+02,9.226058218001012001e-01,6.739090660850392822e-02
2.134247252401532933e+02,9.009869331412539983e-01,6.471633128303404259e-02
2.140543004079327147e+02,9.012463468082672069e-01,6.439227850631652761e-02
2.146838755757121078e+02,9.114190344954843370e-01,6.438442985589402923e-02
2.153134507434915008e+02,8.959456549262265757e-01,6.325077535640903637e-02
2.159430259112708939e+02,8.850007814923186444e-01,6.091639222108200663e-02
2.165726010790502585e+02,8.790233131386582244e-01,5.964551018966818968e-02
2.172021762468296799e+02,8.900718873149152666e-01,6.085015473499900268e-02
2.178317514146090730e+02,8.864999811582644496e-01,6.072628865958931005e-02
2.184613265823884660e+02,8.724099550432897754e-01,5.742002234774258584e-02
2.190909017501678875e+02,8.660125212358944502e-01,5.399695630923200679e-02
2.197204769179472805e+02,8.569292066504725636e-01,5.371805154118366316e-02
2.203500520857266451e+02,8.510785120338115739e-01,5.363896043536295344e-02
2.209796272535060382e+02,8.522209718424400560e-01,5.360936283082243237e-02
2.216092024212854312e+02,8.375476914904598225e-01,5.099527579785999298e-02
2.222387775890648527e+02,8.289164312363896947e-01,4.998434964575909634e-02
2.228683527568442457e+02,8.274658018081897382e-01,5.195942038534051566e-02
2.234979279246236388e+02,8.216664406681057908e-01,5.209828144511393505e-02
2.241275030924030034e+02,8.145870374220576249e-01,5.023481104570452077e-02
2.247570782601823964e+02,8.071782530809569201e-01,4.854298083539467651e-02
2.253866534279618179e+02,8.055894930339607685e-01,4.867102385870772374e-02
2.260162285957412109e+02,8.077023195870935979e-01,4.943780585019334067e-02
2.266458037635206040e+02,8.083300625242542115e-01,5.058266489516306808e-02
2.272753789312999970e+02,8.016812961646193614e-01,5.045335010749217586e-02
2.279049540990793616e+02,8.026510097790793274e-01,5.011014804067166067e-02
2.285345292668587831e+02,7.960635527582107240e-01,4.941943112124861509e-02
2.291641044346381761e+02,7.970858098590007934e-01,5.058307222327170644e-02
2.297936796024175692e+02,7.891881786722029224e-01,5.018523569804575479e-02
2.304232547701969906e+02,7.756528464078328300e-01,4.930297262991687607e-02
2.310528299379763837e+02,7.784056137273691611e-01,4.942732267144214764e-02
2.316824051057557483e+02,7.714491230357610752e-01,5.010733680998130657e-02
2.323119802735351414e+02,7.754729942473115312e-01,5.181218903920577906e-02
2.329415554413145344e+02,7.761839709950100197e-01,5.217735633382822313e-02
2.335711306090939559e+02,7.652493176864787472e-01,5.205012535359680725e-02
2.342007057768733489e+02,7.608875828112149353e-01,5.229155329369412908e-02
2.348302809446527419e+02,7.715041292746102064e-01,5.313960298743208160e-02
2.354598561124321066e+02,7.644623434857754640e-01,5.436156714685613095e-02
2.360894312802114996e+02,7.648729533652502965e-01,5.445551274635341416e-02
2.367190064479909211e+02,7.537857678949773099e-01,5.429051873413232726e-02
2.373485816157703141e+02,7.550165891798542583e-01,5.471145030173633211e-02
2.379781567835497071e+02,7.474091996632103996e-01,5.497187075411216761e-02
2.386077319513291002e+02,7.511941692816567206e-01,5.559544520946139989e-02
2.392373071191084648e+02,7.442230246406428273e-01,5.564716907508077126e-02
2.398668822868878863e+02,7.358499192375949072e-01,5.533491084417614669e-02
2.404964574546672793e+02,7.286896112737278886e-01,5.574721871206480411e-02
2.411260326224466723e+02,7.393312166959815634e-01,5.711404194189716871e-02
2.417556077902260938e+02,7.400948803757844141e-01,5.705569280833249629e-02
2.423851829580054869e+02,7.320256274775970295e-01,5.651208554266176631e-02
