# average_velocity_axis_0,95CLI,us/u_eta,surftimeconst/t_eta,reorientationtime/t_eta
4.610486470329671072e-01,3.064616076320920285e-02,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
4.595392989010989027e-01,2.824244213934954187e-02,5.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.595755872527472752e-01,2.911069076556266344e-02,5.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
4.224238659340658897e-01,2.912998753122595166e-02,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
4.569211428571428590e-01,3.143481776957439411e-02,5.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.151005386813186870e-01,2.857935320026620818e-02,5.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
4.197359006593406328e-01,2.889887012334256544e-02,5.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
3.834654162637362584e-01,2.940715942975186126e-02,5.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
3.588506584615384631e-01,2.857813322096745823e-02,5.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.996010176991150464e-01,5.095428165220970695e-02,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.195268672566371038e-01,6.921061353605525990e-02,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.446283743362831942e-01,6.203138414409051921e-02,6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.919646513274335886e-01,6.005673831134195756e-02,6.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
4.878201486725663449e-01,5.866017808380111220e-02,6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
5.063692769911504188e-01,5.827867676649984424e-02,6.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
4.977761672566372031e-01,5.632559763142187814e-02,6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.686121575221238733e-01,5.925895130842366576e-02,6.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
4.586779123893804933e-01,6.554238581096127891e-02,6.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
4.189618637168141535e-01,4.975254874896323926e-02,6.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
4.097239610619469175e-01,6.982964822874368482e-02,6.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
5.312477120481927662e-01,7.124923352494066942e-02,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.293887674698793733e-01,8.014079927994473274e-02,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.111480204819276230e-01,5.934403284399345641e-02,7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
5.521015144578313993e-01,7.290619543680712522e-02,7.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
5.920456457831325681e-01,8.244442238576127346e-02,7.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
5.461094060240964110e-01,6.304200705048115805e-02,7.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
4.954903385542168692e-01,6.847910989539278404e-02,7.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
5.266008578313252642e-01,7.923424703928200197e-02,7.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
4.844030674698794892e-01,7.320688874192528284e-02,7.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
5.405360192771084815e-01,7.527188427795383774e-02,7.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
4.815501626506024091e-01,6.609660743928985616e-02,7.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
4.540335031250000153e-01,8.389559008891595004e-02,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.928641187499998910e-01,8.015689535487370565e-02,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.549957156250000301e-01,8.450900232033861648e-02,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
7.125961531250000203e-01,7.984749923768864888e-02,8.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
6.558826140625000356e-01,8.063895117640523802e-02,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
6.342026765624999562e-01,6.598107335508644755e-02,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
5.502047406250000217e-01,8.290566177872132902e-02,8.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
6.133777374999999088e-01,8.357317360441772480e-02,8.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
4.885412734374999788e-01,7.587765240893255825e-02,8.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
5.188956140625000657e-01,7.526613967840620201e-02,8.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
5.509212500000000290e-01,8.229542507338440116e-02,8.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
6.162491060000000465e-01,9.279681903589584446e-02,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.362382400000001326e-01,9.426717294998510077e-02,9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.396003380000000016e-01,8.884423218063457195e-02,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00
6.727642980000000383e-01,9.127475032504717145e-02,9.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
7.779007520000000842e-01,1.149384588172980975e-01,9.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
6.208975199999999806e-01,9.284918905392558486e-02,9.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00
6.509203559999999777e-01,1.034142501672408176e-01,9.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00
6.211469199999999358e-01,9.852375082019577957e-02,9.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
5.590000919999998930e-01,8.335954420062784143e-02,9.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
5.599424160000000539e-01,8.842799810718943165e-02,9.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
5.220695239999999515e-01,8.847314335313676004e-02,9.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
7.115884124999999338e-01,7.781208998695487988e-02,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.617465875000001052e-01,1.071853197618623937e-01,1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
7.607497475000000176e-01,1.215668215443542616e-01,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
8.685771499999999090e-01,9.291043995233003172e-02,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
8.007266900000000742e-01,1.042153975861033754e-01,1.000000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
7.284279325000000416e-01,9.070321743988586649e-02,1.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00
6.525776499999998981e-01,1.025934136185431278e-01,1.000000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
6.264694475000001095e-01,1.100880355286992934e-01,1.000000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00
5.888284300000000693e-01,9.518212475191864530e-02,1.000000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00
6.539957975000000312e-01,1.053837512943409105e-01,1.000000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00
5.044053474999999898e-01,1.158507275834375905e-01,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.330033055555555510e-01,1.421030623221817835e-01,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.134651633333333409e+00,1.105476203611749503e-01,1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
